Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
ita000039;Q3792829;Ariosto, Ludovico;0;Il Negromante;;;http://www.bibliotecaitaliana.it/testo/bibit000570;1529;Mondadori;Milano;1974;;14;false;1528/1529;1535;14;4;10;0;0;3;30;1509/1528;25;5;16492;15833;70;0;2502;ariosto-il-negromante;ita000039;ItaDraCor;1529;;male;1474;1533;"Margarita (F); Balia (F); Lippo (M); Fazio (M); Cintio (M); Temolo (M); Massimo (M); Nibbio (M); Astrologo (M); Camillo (M); Madonna (F); Fantesca (F); Facchino (M); Abondio (M)";;55;false;https://www.wikidata.org/wiki/Q48900;DraCor: https://dracor.org/;texts/ariosto-il-negromante.xml
ita000038;Q1655274;Ariosto, Ludovico;0;I suppositi;;;http://www.bibliotecaitaliana.it/testo/bibit000023;1508;R. Ricciardi;Milano [ecc.];1954;;17;false;1508;;17;3;14;0;0;2;48;;28;5;16579;15951;114;721;0;ariosto-i-suppositi;ita000038;ItaDraCor;1508;;male;1474;1533;"Nutrice (F); Polinesta (F); Cleandro (M); Pasifilo (M); Dulippo (M); Caprino (M); Erostrato (M); Sanese (M); Servo (M); Carione (M); Dalio (M); Damone (M); Nebbia (M); Psiteria (F); Filogono (M); Un Ferrarese (M); Lico (M)";;34;false;https://www.wikidata.org/wiki/Q48900;DraCor: https://dracor.org/;texts/ariosto-i-suppositi.xml
ita000037;;Ariosto, Ludovico;0;I Suppositi (red. in versi);;;http://www.bibliotecaitaliana.it/testo/bibit000233;1529;Mondadori;Milano;1974;;17;false;;;17;3;14;0;0;2;44;1529;34;5;16623;16060;115;0;2532;ariosto-i-suppositi-red-in-versi;ita000037;ItaDraCor;1529;;male;1474;1533;"Balia (F); Polinesta (F); Cleandro (M); Pasifilo (M); Dulippo (M); Caprino (M); Erostrato (M); Senese (M); Servo del Senese (M); Carione (M); Dalio (M); Damonio (M); Nevola (M); Psiteria (F); Filogono (M); ferrarese (M); Lizio (M)";;55;false;https://www.wikidata.org/wiki/Q48900;DraCor: https://dracor.org/;texts/ariosto-i-suppositi-red-in-versi.xml
ita000036;Q3772188;Ariosto, Ludovico;0;I Studenti;;;http://www.bibliotecaitaliana.it/testo/bibit001048;1519;Mondadori;Milano;1974;;12;false;;;12;3;9;0;0;2;15;1518/1519;18;4;12668;11057;48;0;1700;ariosto-i-studenti;ita000036;ItaDraCor;1519;;male;1474;1533;"Bonifazio (M); Claudio (M); Eurialo (M); Accursio (M); Pistone (M); Veronese (F); Ippolita (F); Stanna (F); Riccio (M); Frate Predicatore (M); Bartolo (M); Messer Lazzaro (M)";;45;false;https://www.wikidata.org/wiki/Q48900;DraCor: https://dracor.org/;texts/ariosto-i-studenti.xml
ita000035;Q1798675;Ariosto, Ludovico;0;Cassaria;;;http://www.bibliotecaitaliana.it/testo/bibit000027;1508;R. Ricciardi;Milano [ecc.];1954;;20;false;1508;;20;2;18;0;0;1;51;;30;5;17125;16610;113;755;0;ariosto-cassaria;ita000035;ItaDraCor;1508;;male;1474;1533;"Erofilo (M); Nebbia (M); Gianda (M); Eulalia (F); Corisca (F); Caridoro (M); Lucrano, (M); Furba (M); Volpino (M); Fulcio (M); Trappola (M); Brusco (M); Corbacchio (M); Negro (M); Morione (M); Crisobolo (M); Gallo (M); Critone (M); Aristippo (M); Marso (M)";;34;false;https://www.wikidata.org/wiki/Q48900;DraCor: https://dracor.org/;texts/ariosto-cassaria.xml
ita000034;Q84316783;Anonymous;0;Representazione di Febo e Feton;;;http://www.bibliotecaitaliana.it/testo/bibit001296;1486;UTET;Torino;1983;;13;false;1486;;13;5;8;0;0;1;78;;1;0;3997;3558;436;0;475;anonimo-representazione-di-febo-e-feton;ita000034;ItaDraCor;1486;;unknown;;;"Mercurio (M); Ninfa (F); Febo (M); Altra Ninfa (F); Pastore (M); Venere (F); Cupido (M); Dafne (F); Penneo (M); Giove (M); Marte (M); Iunone (F); Neptuno (M)";;;;https://www.wikidata.org/wiki/Q4233718;DraCor: https://dracor.org/;texts/anonimo-representazione-di-febo-e-feton.xml
ita000033;Q84316593;Anonymous;0;Quando Iddio fece il mondo e l'uomo e ogni cosa creata;;;http://www.bibliotecaitaliana.it/testo/bibit001422;1500;Commissione per i testi di lingua;Bologna;1983;;23;false;;;23;1;5;17;8;1;253;1401/1500;1;0;4703;4188;434;0;608;anonimo-quando-iddio-fece-il-mondo-e-l-uomo-e-ogni-cosa-creata;ita000033;ItaDraCor;1500;;unknown;;;"L'Angelo che annuncia (Unk); Iddio Padre (Unk); Angeli (Unk); Arcangeli (Unk); Principati (Unk); Potestati (Unk); Virtù (Unk); Dominazioni (Unk); Troni (Unk); Cherubini (Unk); Serafini (Unk); Lucifero (Unk); Michäel (Unk); Adamo (M); Il Serpente (Unk); Eva (F); Abello (M); Caino (M); Angelo che piglia l'Anima (Unk); Lamech (M); Il Fanciullo (M); Il Dimonio (Unk); L'Angelo che gliela contraddice (Unk)";;;;https://www.wikidata.org/wiki/Q4233718;DraCor: https://dracor.org/;texts/anonimo-quando-iddio-fece-il-mondo-e-l-uomo-e-ogni-cosa-creata.xml
ita000032;Q84305417;Anonymous;0;Orphei tragoedia;;;http://www.bibliotecaitaliana.it/testo/bibit001239;1491;UTET;Torino;1983;;12;false;;;12;6;6;0;1;1;20;1491;5;0;3027;2840;60;0;422;anonimo-orphei-tragoedia;ita000032;ItaDraCor;1491;;unknown;;;"Mopsus (M); Aristeus (M); Thyrsis (M); Dryas (F); Orpheus (M); Mnasyllus (M); Pluto (M); Proserpina (F); Euridice (F); Tisiphone (F); Menades (F); Menas (F)";;;;https://www.wikidata.org/wiki/Q4233718;DraCor: https://dracor.org/;texts/anonimo-orphei-tragoedia.xml
ita000031;Q3821282;Anonymous;0;La veniexiana;;;http://www.bibliotecaitaliana.it/testo/bibit000946;1536;Officina edizioni;Roma;1984;;6;false;;;6;4;2;0;0;1;15;1536;5;0;9748;8579;98;575;0;anonimo-la-veniexiana;ita000031;ItaDraCor;1536;;unknown;;;"Iulius (M); Oria (F); Valeria (F); Angela (F); Nena (F); Bernardo (M)";;;;https://www.wikidata.org/wiki/Q4233718;DraCor: https://dracor.org/;texts/anonimo-la-veniexiana.xml
ita000030;Q84316415;Anonymous;0;La rappresentazione di San Giovanni Battista quando fu decollato;;;http://www.bibliotecaitaliana.it/testo/bibit000787;1451;Commissione per i testi di lingua;Bologna;1983;;17;false;;;17;2;13;2;1;1;136;1451;1;0;5138;4219;827;0;600;anonimo-la-rappresentazione-di-san-giovanni-battista;ita000030;ItaDraCor;1451;;unknown;;;"Un Angelo che annuncia (Unk); San Giovanni Battista (M); Gli Scribi del Re Erode (M); Gesù Cristo (M); Lo Spirito Santo (Unk); Il Re Erode (M); La Reina (F); Il Vassallo del Re (M); L'Araldo del Re (M); Signore (M); Altro Signore (M); La Fanciulla (F); Barone (M); Altro Barone (M); Il Siniscalco (M); Il Manigoldo (M); Adamo (M)";;;;https://www.wikidata.org/wiki/Q4233718;DraCor: https://dracor.org/;texts/anonimo-la-rappresentazione-di-san-giovanni-battista.xml
