Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of Words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement
ger000569;Q111795417;Adolph, Karl;0;Am ersten Mai;Eine Tragikomödie der Arbeit aus Friedenstagen;;https://www.projekt-gutenberg.org/adolph/am1mai/index.html;1919;;;;;7;False;1920;1919;7;2;5;0;0;1;13;;18;0;7696;7438;998;244;2;adolph-am-ersten-mai;ger000569;GerDraCor;1919;;male;1869;1931;"Hausbesorgerin (F); Mieter (M); Hausherr (M); Maurer (M); Maurerweib (F); Tischler (M); Tischlerjunge (M)";;50;False;https://www.wikidata.org/wiki/Q1730220;DraCor: https://dracor.org/
ger000570;Q394759;Raupach, Ernst;0;Agnes von Hohenstaufen;Große historisch-romantische Oper in 3 Aufzügen;;http://www.textgridrep.org/textgrid:t9p6.0;1829;;;;;27;True;1829;1837;27;5;19;3;9;1;174;;30;3;8999;8157;1433;0;1208;raupach-agnes-von-hohenstaufen;ger000570;GerDraCor;1829;;male;1784;1852;"Kaiser Heinrich VI (M); Irmengard (F); Philipp (M); Der Erzbischof von Mainz (M); Der Burggraf des Kaisers (M); Philipp August, König von Frankreich (M); Heinrich der Löwe (M); Agnes (F); Erster Fürst (M); Zweiter Fürst (M); Dritter Fürst (M); Vierter Fürst (M); Theobald (M); Kerkerwache (M); Wache (M); Kampfrichter (M); Der schwarze Ritter (M); Heinrich der Sohn (M)";;45;False;https://www.wikidata.org/wiki/Q67961;DraCor: https://dracor.org/
ger000571;Q111669378;Herzenskron, Hermann;0;Hoang-Puff;Posse in einem Acte, nach dem Französischen der Herren Caignéz und Louis frey bearbeitet;Comedy;https://de.wikisource.org/wiki/Hoang-Puff;1822;;;;;7;False;1822;1826;7;1;6;0;1;1;18;;18;0;5770;5506;562;343;0;herzenskron-hoang-puff;ger000571;GerDraCor;1822;;male;1789;1863;"Jao (M); Kang-Schu (M); Hoang-Puff (M); Zimar (M); Nadir (M); Oali (F)";;33;False;https://www.wikidata.org/wiki/Q18222260;DraCor: https://dracor.org/
ger000572;Q19183376;Ernst, Otto;0;Die größte Sünde;Drama in 5 Akten;;https://de.wikisource.org/wiki/Die_größte_Sünde;1895;;;;;16;False;1895;1895;16;5;10;1;1;1;39;;35;5;23957;22883;3575;969;0;ernst-die-groesste-suende;ger000572;GerDraCor;1895;;male;1862;1926;"Magdalene (F); Elise Rehkamp (F); Wolfgang Behring (M); Fritz (M); August Wöhlers (M); Pastor Meiling (M); Christine Wöhlers (F); Roloffs (M); Stein (M); Dr. Edwin Scharff (M); Julius Weber (M); Emilie Stebeling (F); Postbote (M); Schwester Helene (F); Diener (M)";;33;False;https://www.wikidata.org/wiki/Q123291;DraCor: https://dracor.org/
ger000573;Q112567926;Braun, Lily;0;Mutter Maria;Eine Tragödie in fünf Akten;Tragedy;https://www.projekt-gutenberg.org/braun/mutterma/index.html;1913;;;;;91;False;1913;1913;91;24;64;3;5;1;2010;;5;5;18613;18023;3582;0;2214;braun-mutter-maria;ger000573;GerDraCor;1913;;female;1865;1916;"Giuseppe (M); Maria (F); Fra Sebastiano (M); Lucrezia (F); Sandro (M); Angelo (M); Roberto (M); Cesare (M); Gasparo (M); Pietro (M); Der Page (M); Ein Jüngling (Zweiter Akt) (M); Ein Mädchen (Zweiter Akt) (F); Ein zweites Mädchen (F); Ein zweiter Jüngling (M); Ein Mann (Zweiter Akt) (M); Ein zweiter Mann (Zweiter Akt) (M); Ein dritter Mann (Zweiter Akt) (M); Ein Jüngling (Zweiter Akt) (M); Ein Mann (Zweiter Akt) (M); Ein Jüngling (Zweiter Akt) (M); Giuliano dei Medici (M); Der Abt (M); Lorenzo dei Medici (M); Ein alter Diener (M); Ein Page (M); Ein zweiter Page (M); Ein Diener (Dritter Akt) (M); Eine Dienerin (F); Eine zweite Dienerin (F); Eine dritte Dienerin (F); Eine alte Dienerin (F); Ein Gast (Dritter Akt) (M); Ein zweiter Gast (Dritter Akt) (M); Ein dritter Gast (Dritter Akt) (M); Ein vierter Gast (Dritter Akt) (M); Eine Dame (Dritter Akt) (F); Eine andere Dame (Dritter Akt) (F); Filiberta (F); Ein Gast (Dritter Akt) (M); Ein zweiter Gast (Dritter Akt) (M); Ein Gelehrter (M); Eine Dame (Dritter Akt) (F); Der Diener (Dritter Akt) (M); Kardinal Bibbiena (M); Ein Mann (Vierter Akt) (M); Ein zweiter (Vierter Akt) (M); Ein dritter (Vierter Akt) (M); Ein vierter (Vierter Akt) (M); Eine Frau (Vierter Akt) (F); Eine zweite Frau (Vierter Akt) (F); Ein alter Mann (M); Ein Knabe (M); Ein andrer Mann (M); Eine Frau (Vierter Akt) (F); Ein Mädchen (Vierter Akt) (F); Ein junger Mann (Vierter Akt) (M); Ein zweiter (Vierter Akt) (M); Ein dritter (Vierter Akt) (M); Ein vierter (Vierter Akt) (M); Ein junges Mädchen (F); Ein Mann (Vierter Akt) (M); Ein junger Mann (Vierter Akt) (M); Ein zweiter (Vierter Akt) (M); Eine Frau (Vierter Akt) (F); Eine zweite Frau (Vierter Akt) (F); Ein Lahmer (M); Ein altes Mütterchen (F); Eine dritte Frau (Vierter Akt) (F); Ein Mann (Vierter Akt) (M); Das Kind (Unk); Ein junger Mann (Vierter Akt) (M); Ein zweiter (Vierter Akt) (M); Ein dritter (Vierter Akt) (M); Ein Mann (Vierter Akt) (M); Ein zweiter (Vierter Akt) (M); Ein dritter (Vierter Akt) (M); Ein vierter (Vierter Akt) (M); Ein Mann (Vierter Akt) (M); Ein Mann (Vierter Akt) (M); Ein Mädchen (Vierter Akt) (F); Erster Söldner (M); Zweiter Söldner (M); Dritter Söldner (M); Vierter Söldner (M); Der Stadtknecht (M)";;48;False;https://www.wikidata.org/wiki/Q71372;DraCor: https://dracor.org/
ger000574;Q111592520;Koller, Benedikt;0;Der Zauberstein;Eine Posse in einem Aufzuge. Vierte Fortsetzung der beiden Billets;Comedy;https://de.wikisource.org/wiki/Der_Zauberstein;1804;;;;;4;False;;1804;4;1;3;0;0;1;4;;15;0;5467;5304;302;409;0;koller-der-zauberstein;ger000574;GerDraCor;1804;;male;1767;1798;"Görge (M); Röschen (F); Schnaps (M); Knabe (M)";;;True;https://www.wikidata.org/wiki/Q816963;DraCor: https://dracor.org/
ger000575;Q2049303;Goethe, Johann;0;Pandora;Ein Festspiel;;http://www.textgridrep.org/textgrid:11fg5.0;1810;;;;;12;False;;1810;12;3;9;0;3;1;66;;1;0;7234;6982;229;0;1101;goethe-pandora;ger000575;GerDraCor;1810;Goethe, Johann Wolfgang von;male;1749;1832;"Epimetheus (M); Phileros (M); Prometheus (M); Erster Hirt (M); Zweiter Hirt (M); Dritter Hirt (M); Elpore (F); Epimeleia (F); Eos (F)";;61;False;https://www.wikidata.org/wiki/Q5879;DraCor: https://dracor.org/
ger000576;Q111976082;Angely, Louis;0;Prinz Tu-Ta-Tu;Burleske mit Gesang nach Sauvage;Comedy;https://de.wikisource.org/wiki/Prinz_Tu-Ta-Tu;1835;Magazin für Buchhandel, Musik und Kunst;Hamburg;1836;53;8;False;1835;1836;8;1;6;1;1;1;23;;13;0;7873;7416;894;342;124;angely-prinz-tu-ta-tu;ger000576;GerDraCor;1835;;male;1787;1835;"Gululi (F); Tutatu (M); Ein Ausrufer (M); Kauttschuh (M); Puffapuff (M); Kakaho (M); Ein Sclave (M)";;48;False;https://www.wikidata.org/wiki/Q76070;DraCor: https://dracor.org/
ger000577;Q112654763;Klemm, Christian;0;Der Besuch;Ein Lustspiel in einem Aufzuge;Comedy;https://de.wikisource.org/wiki/Der_Besuch_(Klemm);1765;Schulz;Wien;1765;16;7;False;;1765;7;4;3;0;0;1;12;;9;0;3376;3307;64;151;0;klemm-der-besuch;ger000577;GerDraCor;1765;;male;1736;1802;"Celimene (F); Finette (F); Chlorinde (F); Cydalise (F); Damis (M); Erast (M); Ein Bedienter (M)";;29;False;https://www.wikidata.org/wiki/Q21156171;DraCor: https://dracor.org/
ger000578;Q111939198;Kotzebue, August;0;Der weibliche Jacobiner-Clubb;Ein politisches Lustspiel in Einem Aufzug;Comedy;https://de.wikisource.org/wiki/Der_weibliche_Jacobiner-Clubb;1791;Kummer;Leipzig;1792;;20;False;1791;1792;20;10;10;0;0;1;139;1791;18;0;7726;7393;496;478;0;kotzebue-der-weibliche-jacobiner-clubb;ger000578;GerDraCor;1791;;male;1761;1819;"Duport (M); Louis (M); Madam Duport (F); La Brie (M); Julie (F); Antoinette (F); Marquis de Rozieres (M); Erste Dame (F); Zweyte Dame (F); Dritte Dame (F); Vierte Dame (F); Fünfte Dame (F); Sechste Dame (F); Eine Dame (F); Erster Herr (M); Zweyter Herr (M); Dritter Herr (M); Vierter Herr (M); Fünfter Herr (M); Sechster Herr (M)";;30;False;https://www.wikidata.org/wiki/Q57242;DraCor: https://dracor.org/
ger000579;Q112164010;Kotzebue, August;0;Der Verschwiegene wider Willen, oder die Fahrt von Berlin nach Potsdam;Ein Lustspiel in Einem Act;Comedy;https://de.wikisource.org/wiki/Der_Verschwiegene_wider_Willen;1815;;;;;8;False;1815;1816;8;2;6;0;0;1;18;;25;0;7075;6709;491;412;0;kotzebue-der-verschwiegene-wider-willen;ger000579;GerDraCor;1815;;male;1761;1819;"Commissions-Rath Frosch (M); Julie (F); Fähndrich von Wiesen (M); Hauptmann von Trott (M); Major von Düna (M); Generalin (F); General von Wildruff (M); Adjutant (M)";;54;False;https://www.wikidata.org/wiki/Q57242;DraCor: https://dracor.org/
ger000580;Q112686910;Schütz, Friedrich;0;Die Katze läßt das Mausen nicht;Sprüchwort in einem Aufzuge, als Fortsetzung des Bauernguts;Comedy;https://de.wikisource.org/wiki/Die_Katze_läßt_das_Mausen_nicht_(Schütz);1800;Bechtold;Altona;1801;32;7;False;1800;1801;7;1;6;0;1;1;13;;14;0;4248;4085;256;240;0;schuetz-die-katze-laesst-das-mausen-nicht;ger000580;GerDraCor;1800;;male;1758;1834;"Schnaps (M); Knallerpaller (M); Wirth (M); Gürge (M); Röse (F); Einer von den Bauern (M)";;42;False;https://www.wikidata.org/wiki/Q216443;DraCor: https://dracor.org/
ger000581;Q112727935;Rambach, Friedrich;0;Die Kuhpocken;Ein Familiengemälde in einem Akt;;https://books.google.com/books?id=Z2lUAAAAcAAJ&printsec=frontcover;1802;Quien;Berlin;1802;79;10;False;;1802;10;4;6;0;0;1;38;;17;0;8249;7556;548;487;0;rambach-die-kuhpocken;ger000581;GerDraCor;1802;;male;1767;1826;"Marie (F); Otter (M); Doktor Zink (M); Der Schulze (M); Baron von Halm (M); Baronesse von Ehegestern (F); Prediger Braun (M); Sophie (F); Wilhelm (M); Louise (F)";;35;False;https://www.wikidata.org/wiki/Q100583;DraCor: https://dracor.org/
ger000582;Q111939679;Beyer, Heinrich;0;Der Hausherr in der Klemme;Ein Spiel in Versen in einem Aufzug;Comedy;https://de.wikisource.org/wiki/Der_Hausherr_in_der_Klemme;1813;;;;;2;False;;1813;2;1;1;0;0;1;1;;9;0;4884;4770;472;0;503;beyer-der-hausherr-in-der-klemme;ger000582;GerDraCor;1813;;male;;;"Der Hausherr (M); Die Haushälterin (F)";;;;https://www.wikidata.org/wiki/Q112771857;DraCor: https://dracor.org/
