Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
rus000192;Q4079492;Булгаков, Михаил;0;Батум;Пьеса в четырех действиях;;http://www.lib.ru/BULGAKOW/batum.txt;1939;;;;;36;false;1992;1977;36;1;35;0;1;2;239;1936/1939;10;4;14320;12191;3177;952;14;bulgakov-batum;rus000192;RusDraCor;1939;Bulgakov, Mikhail;male;1891;1940;"Ректор (M); Сталин (M); Инспектор (M); Одноклассник (M); Варсонофий (M); Наташа (F); Сильвестр (M); Порфирий (M); Миха (M); Теофил (M); Канделаки (M); Котэ (M); Климов (M); Хиримьянц (M); Тодрия (M); Приказчик (M); Адъютант (M); Губернатор (M); Трейниц (M); Ваншейдт (M); Кякива (M); Геронтий (M); Полицеймейстер (M); Городовой (M); Околоточный (M); Дариспан (M); Реджеб (M); Вано (M); Первый надзиратель (M); Уголовный (M); Второй надзиратель (M); Начальник тюрьмы (M); Уголовные (M); Николай (M); Флигель-адъютант (M); Министр (M)";;48;false;https://www.wikidata.org/wiki/Q835;DraCor: https://dracor.org/;texts/bulgakov-batum.xml
rus000191;Q68641153;Булгаков, Михаил;0;Война и мир;Инсценированный роман Л.Н. Толстого в четырех действиях (тридцать сцен);;http://www.lib.ru/BULGAKOW/war.txt;1932;;;;;95;false;;1986;95;12;76;7;3;1;491;1932;30;4;14413;12222;2653;699;7;bulgakov-vojna-i-mir;rus000191;RusDraCor;1932;Bulgakov, Mikhail;male;1891;1940;"Элен (F); Пьер (M); Анатоль (M); Марья (F); Андрей (M); Наташа (F); Чтец (M); Голос I (Unk); Голос II (Unk); Голос III (Unk); Графиня (F); Хор (Unk); Петя (M); Граф (M); Шиншин (M); Соня (F); Моряк-либерал (M); Сенатор (M); Степан Степанович Апраксин (M); Нехороший игрок (M); Глинка (M); Растопчин (M); Голоса (Unk); Голос (Unk); Александр (M); Откупщик (M); Наполеон (M); Бертье (M); Лаврушка (M); Лелорм-Дидевиль (M); Болконский (M); Тихон (M); Алпатыч (M); Дуняша (F); Дрон (M); Ильин (M); Ростов (M); Длинный мужик (M); Один мужик (M); Небольшой мужик (M); Карп (M); Круглолицый мужик (M); Адъютант (M); Кутузов (M); Другой адъютант (M); Еще адъютант (M); Свита (Unk); Щербинин (M); Вольцоген (M); Раевский (M); Черноволосый унтер-офицер (M); Раненый солдат (M); Доктор (M); Солдат с котелком (M); Берейтор (M); Мавра Кузьминишна (F); Бледный офицер (M); Майор (M); Васильич (M); Почтенный камердинер (M); Денщик (M); Матрена Тимофеевна (F); Горничная (F); Герасим (M); Макар Алексеевич (M); Кухарка (F); Рамбаль (M); Mорeль (M); Марья Николаевна (F); Человек в вицмундире (M); Рябая баба (F); Маленький мародер (M); Улан (M); Офицер-улан (M); Маленький человечек (M); Даву (M); Адъютант Даву (M); Толь (M); Болховитинов (M); Эсаул (M); Денисов (M); Босс (M); Долохов (M); Каратаев (M); Французский конвоир (M); Пленный русский солдат (M); Официант (M); Генерал (M); Краснорожий (M); Плясун (M); Молодой (M); Старый (M); Фельдфебель I (M); Фельдфебель II (M); Песельник (M)";;41;false;https://www.wikidata.org/wiki/Q835;DraCor: https://dracor.org/;texts/bulgakov-vojna-i-mir.xml
rus000190;Q4317192;Островский, Александр;0;Неожиданный случай;Драматический этюд;;http://az.lib.ru/o/ostrowskij_a_n/text_0032.shtml;1851;;;;;4;false;1902;1851;4;2;2;0;0;1;6;1850;13;0;6545;6441;281;411;0;ostrovsky-neozhidannyj-sluchaj;rus000190;RusDraCor;1851;Ostrovsky, Alexander;male;1823;1886;"Розовый (M); Дружнин (M); Софья Антоновна (F); Маша (F)";;28;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-neozhidannyj-sluchaj.xml
rus000189;Q4415124;Островский, Александр;0;Семейная картина;;;http://az.lib.ru/o/ostrowskij_a_n/text_0001.shtml;1847;;;;;6;false;1855;1847;6;4;2;0;0;1;15;1847;1;0;5224;5101;263;202;2;ostrovsky-semejnaya-kartina;rus000189;RusDraCor;1847;Ostrovsky, Alexander;male;1823;1886;"Марья Антиповна (F); Матрена Савишна (F); Дарья (F); Антип Антипыч (M); Степанида Трофимовна (F); Ширялов (M)";;24;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-semejnaya-kartina.xml
rus000188;Q4478996;Островский, Александр;0;Утро молодого человека;Сцены;;http://az.lib.ru/o/ostrowskij_a_n/text_0031.shtml;1850;;;;;9;false;1853;1850;9;0;9;0;0;1;17;1850;6;0;3524;3364;210;220;8;ostrovsky-utro-molodogo-cheloveka;rus000188;RusDraCor;1850;Ostrovsky, Alexander;male;1823;1886;"Иван (M); Сидорыч (M); Гришка (M); Лисавский (M); 2-й молодой человек (M); 1-й молодой человек (M); Недопекин (M); Смуров (M); Вася (M)";;27;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-utro-molodogo-cheloveka.xml
rus000187;Q4089062;Островский, Александр;0;Богатые невесты;Комедия в четырех действиях;Comedy;http://az.lib.ru/o/ostrowskij_a_n/text_0160.shtml;1875;;;;;6;false;1875;1876;6;3;3;0;0;1;15;1875;27;4;13434;12884;769;815;0;ostrovsky-bogatye-nevesty;rus000187;RusDraCor;1875;Ostrovsky, Alexander;male;1823;1886;"Бедонегова (F); Пирамидалов (M); Гневышов (M); Белесова (F); Цыплунова (F); Цыплунов (M)";;52;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-bogatye-nevesty.xml
rus000186;Q4179356;Островский, Александр;0;За чем пойдешь, то и найдешь (Женитьба Бальзаминова);Картины московской жизни;;http://az.lib.ru/o/ostrowskij_a_n/text_0064.shtml;1861;;;;;9;false;1863;1861;9;7;2;0;0;1;20;1861;26;0;11401;10988;501;688;2;ostrovsky-za-chem-pojdesh-to-i-najdesh;rus000186;RusDraCor;1861;Ostrovsky, Alexander;male;1823;1886;"Бальзаминова (F); Матрена (F); Бальзаминов (M); Красавина (F); Чебаков (M); Белотелова (F); Раиса (F); Анфиса (F); Химка (F)";;38;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-za-chem-pojdesh-to-i-najdesh.xml
rus000185;Q4411223;Островский, Александр;0;Свои собаки грызутся, чужая не приставай;Картины московской жизни;;http://az.lib.ru/o/ostrowskij_a_n/text_0063.shtml;1861;;;;;8;false;1861;1861;8;6;2;0;0;1;20;1861;15;0;7731;7494;471;462;10;ostrovsky-svoi-sobaki-gryzutsya-chuzhaya-ne-pristavaj;rus000185;RusDraCor;1861;Ostrovsky, Alexander;male;1823;1886;"Бальзаминова (F); Матрена (F); Устрашимов (M); Бальзаминов (M); Красавина (F); Маша (F); Антрыгина (F); Пионова (F)";;38;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-svoi-sobaki-gryzutsya-chuzhaya-ne-pristavaj.xml
rus000184;Q4376382;Островский, Александр;0;Праздничный сон — до обеда;Картины из московской жизни;;http://az.lib.ru/o/ostrowskij_a_n/text_0052.shtml;1857;;;;;10;false;1857;;10;8;2;0;0;1;32;1857;14;0;7005;6422;842;515;2;ostrovsky-prazdnichnyj-son-do-obeda;rus000184;RusDraCor;1857;Ostrovsky, Alexander;male;1823;1886;"Бальзаминова (F); Бальзаминов (M); Матрена (F); Красавина (F); Ничкина (F); Капочка (F); Устинька (F); Маланья (F); Юша (F); Неуеденов (M)";;34;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-prazdnichnyj-son-do-obeda.xml
rus000183;Q4101840;Островский, Александр;0;В чужом пиру похмелье;Комедия в двух действиях;Comedy;http://az.lib.ru/o/ostrowskij_a_n/text_0048.shtml;1856;;;;;10;false;1856;1856;10;5;5;0;0;1;26;1856;20;2;8080;7666;625;414;0;ostrovsky-v-chuzhom-piru-pohmelje;rus000183;RusDraCor;1856;Ostrovsky, Alexander;male;1823;1886;"Иван Ксенофонтыч (M); Аграфена Платоновна (F); Лизавета Ивановна (F); Андрей Титыч (M); Тит Титыч (M); Капитон Титыч (M); Луша (F); Настасья Панкратьевна (F); Ненила Сидоровна (F); Захар Захарыч (M)";;33;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-v-chuzhom-piru-pohmelje.xml
